station_id,hour,lag_8h
1,0,17.413793103448278
1,1,10.39622641509434
1,2,10.907407407407407
1,3,16.923076923076923
1,4,18.91304347826087
1,5,18.203389830508474
1,6,16.633802816901408
1,7,16.472972972972972
1,8,15.0
1,9,15.732758620689655
1,10,17.80701754385965
1,11,20.081632653061224
1,12,21.39644970414201
1,13,22.68208092485549
1,14,24.581818181818182
1,15,24.63975155279503
1,16,23.96319018404908
1,17,23.955974842767297
1,18,23.69736842105263
1,19,23.123966942148762
1,20,23.0
1,21,21.61627906976744
1,22,20.9
1,23,19.53125
2,0,3.4237288135593222
2,1,4.133333333333334
2,2,4.6461538461538465
2,3,5.032258064516129
2,4,3.0476190476190474
2,5,3.683333333333333
2,6,4.1940298507462686
2,7,4.557377049180328
2,8,5.171428571428572
2,9,3.8956521739130436
2,10,2.2755905511811023
2,11,1.816326530612245
2,12,1.6927710843373494
2,13,2.4518072289156625
2,14,2.9685534591194966
2,15,2.700636942675159
2,16,2.238095238095238
2,17,2.210526315789474
2,18,2.032
2,19,2.1862745098039214
2,20,2.8536585365853657
2,21,2.9746835443037973
2,22,4.382352941176471
2,23,4.39622641509434
3,0,7.793103448275862
3,1,8.592105263157896
3,2,9.25609756097561
3,3,10.295454545454545
3,4,10.921052631578947
3,5,8.965909090909092
3,6,9.416666666666666
3,7,9.0990990990991
3,8,8.98235294117647
3,9,6.404371584699454
3,10,6.412087912087912
3,11,6.674157303370786
3,12,5.975757575757576
3,13,5.392638036809816
3,14,5.585987261146497
3,15,5.7481481481481485
3,16,5.837209302325581
3,17,5.726495726495727
3,18,6.867469879518072
3,19,5.8375
3,20,6.919354838709677
3,21,6.511627906976744
3,22,5.528301886792453
3,23,6.569230769230769
4,0,8.37007874015748
4,1,8.246031746031745
4,2,8.4
4,3,9.492537313432836
4,4,10.38888888888889
4,5,8.6015625
4,6,8.521739130434783
4,7,8.91715976331361
4,8,10.071428571428571
4,9,11.277173913043478
4,10,13.065934065934066
4,11,13.517441860465116
4,12,13.115853658536585
