station_id,hour,lag_1h,lag_24h
1,5,15.10344827586207,19.482758620689655
1,7,14.172413793103448,22.586206896551722
1,8,18.137931034482758,22.344827586206897
1,10,19.20689655172414,25.96551724137931
1,11,22.482758620689655,25.655172413793103
1,13,21.5,24.642857142857142
1,14,24.714285714285715,23.142857142857142
1,16,23.714285714285715,21.392857142857142
1,17,23.06896551724138,20.06896551724138
1,19,22.103448275862068,17.517241379310345
1,20,20.3,15.966666666666667
1,22,18.9,14.933333333333334
1,23,16.2,18.366666666666667
2,5,4.275862068965517,1.793103448275862
2,7,4.827586206896552,1.6896551724137931
2,8,2.793103448275862,2.0
2,10,1.6551724137931034,2.689655172413793
2,11,1.3793103448275863,2.5172413793103448
2,13,1.8571428571428572,2.142857142857143
2,14,3.25,2.0
2,16,3.0,2.8214285714285716
2,17,2.3448275862068964,3.0
2,19,2.0344827586206895,3.793103448275862
2,20,2.9,4.066666666666666
2,22,3.3333333333333335,4.666666666666667
2,23,4.1,2.7
3,5,9.620689655172415,6.379310344827586
3,7,9.03448275862069,7.172413793103448
3,8,6.724137931034483,6.172413793103448
3,10,5.793103448275862,5.689655172413793
3,11,6.517241379310345,6.344827586206897
3,13,5.785714285714286,6.357142857142857
3,14,5.857142857142857,6.785714285714286
3,16,6.464285714285714,7.607142857142857
3,17,6.413793103448276,8.137931034482758
3,19,6.620689655172414,8.758620689655173
3,20,7.666666666666667,9.4
3,22,8.166666666666666,8.933333333333334
3,23,9.0,6.966666666666667
4,5,8.206896551724139,12.0
4,7,8.379310344827585,13.10344827586207
4,8,10.655172413793103,13.206896551724139
4,10,12.344827586206897,12.10344827586207
4,11,13.724137931034482,11.310344827586206
4,13,13.178571428571429,10.392857142857142
4,14,12.142857142857142,8.607142857142858
4,16,11.392857142857142,7.75
4,17,10.482758620689655,7.758620689655173
4,19,8.89655172413793,7.931034482758621
4,20,7.933333333333334,8.266666666666667
4,22,8.133333333333333,8.433333333333334
4,23,8.3,10.466666666666667
5,5,22.655172413793103,11.620689655172415
5,7,22.82758620689655,11.0
5,8,19.96551724137931,11.758620689655173
5,10,11.89655172413793,11.586206896551724
5,11,11.724137931034482,13.241379310344827
5,13,12.428571428571429,13.428571428571429
5,14,13.607142857142858,18.25
5,16,13.928571428571429,21.535714285714285
5,17,13.586206896551724,22.0
5,19,17.93103448275862,22.75862068965517
5,20,21.533333333333335,22.1
5,22,22.466666666666665,22.233333333333334
5,23,22.633333333333333,19.9
6,5,8.827586206896552,6.206896551724138
6,7,7.413793103448276,5.413793103448276
6,8,6.482758620689655,5.827586206896552
6,10,5.758620689655173,6.9655172413793105
6,11,5.172413793103448,7.413793103448276
6,13,5.642857142857143,8.0
6,14,6.821428571428571,8.214285714285714
6,16,7.321428571428571,9.5
6,17,8.241379310344827,10.517241379310345
6,19,8.689655172413794,9.724137931034482
6,20,10.033333333333333,9.1
6,22,10.533333333333333,7.766666666666667
6,23,9.366666666666667,6.666666666666667
7,5,7.103448275862069,7.275862068965517
7,7,6.655172413793103,6.0
7,8,6.758620689655173,5.551724137931035
7,10,7.379310344827586,6.724137931034483
7,11,6.379310344827586,6.551724137931035
7,13,6.107142857142857,6.321428571428571
7,14,7.321428571428571,7.5
7,16,7.068965517241379,6.827586206896552
7,17,6.689655172413793,6.758620689655173
7,19,7.344827586206897,6.931034482758621
7,20,6.566666666666666,6.966666666666667
7,22,6.933333333333334,6.7
7,23,7.166666666666667,6.866666666666666
8,5,16.448275862068964,14.827586206896552
8,7,16.551724137931036,11.96551724137931
8,8,17.75862068965517,11.758620689655173
8,10,15.620689655172415,13.03448275862069
8,11,11.931034482758621,13.793103448275861
8,13,11.678571428571429,14.5
8,14,13.0,17.5
8,16,14.03448275862069,16.06896551724138
8,17,14.379310344827585,15.379310344827585
8,19,16.82758620689655,15.689655172413794
8,20,16.133333333333333,16.166666666666668
8,22,15.2,16.3
8,23,15.633333333333333,16.766666666666666
9,5,9.931034482758621,10.137931034482758
9,7,6.758620689655173,14.551724137931034
9,8,9.793103448275861,18.448275862068964
9,10,10.413793103448276,18.20689655172414
9,11,13.310344827586206,16.620689655172413
9,13,17.607142857142858,17.392857142857142
9,14,17.5,18.0
9,16,16.607142857142858,17.357142857142858
9,17,17.20689655172414,17.137931034482758
9,19,18.0,13.137931034482758
9,20,17.666666666666668,10.5
9,22,16.966666666666665,7.333333333333333
9,23,12.533333333333333,9.4
10,5,13.448275862068966,11.379310344827585
10,7,12.172413793103448,12.96551724137931
10,8,11.413793103448276,13.620689655172415
10,10,11.344827586206897,13.827586206896552
10,11,12.655172413793103,13.862068965517242
10,13,13.607142857142858,13.071428571428571
10,14,13.428571428571429,14.25
10,16,13.571428571428571,14.857142857142858
10,17,12.793103448275861,14.655172413793103
10,19,13.96551724137931,13.931034482758621
10,20,14.633333333333333,13.5
10,22,14.633333333333333,12.4
10,23,13.8,11.6
11,5,10.310344827586206,11.482758620689655
11,7,10.206896551724139,18.06896551724138
11,8,12.0,18.379310344827587
11,10,12.724137931034482,17.517241379310345
11,11,19.724137931034484,18.06896551724138
11,13,19.928571428571427,17.714285714285715
11,14,19.035714285714285,13.714285714285714
11,16,19.0,11.75
11,17,18.448275862068964,11.206896551724139
11,19,14.689655172413794,10.448275862068966
11,20,12.0,9.5
11,22,11.633333333333333,9.4
11,23,11.033333333333333,10.866666666666667
12,5,4.206896551724138,2.7586206896551726
12,7,4.724137931034483,1.9310344827586208
12,8,3.4482758620689653,2.3793103448275863
12,10,2.7586206896551726,1.9310344827586208
12,11,2.103448275862069,1.8620689655172413
12,13,2.607142857142857,2.107142857142857
12,14,2.2142857142857144,1.9285714285714286
12,16,2.107142857142857,3.5357142857142856
12,17,2.103448275862069,3.413793103448276
12,19,2.0344827586206895,3.793103448275862
12,20,3.466666666666667,4.133333333333334
12,22,3.5,4.666666666666667
12,23,3.7,3.3666666666666667
13,5,10.862068965517242,11.206896551724139
13,7,10.551724137931034,13.413793103448276
13,8,11.206896551724139,13.793103448275861
13,10,12.827586206896552,14.310344827586206
13,11,15.379310344827585,14.89655172413793
13,13,15.571428571428571,14.428571428571429
13,14,15.678571428571429,12.178571428571429
